id;dealer id;OEM;Dealer π (RO);ESN;Mileage;m type;application;"Model
/Series ESN";Date of failure;Claim date received (first time);First question date ;—laim submission/denial  date;Credit statement date ;Claim Amount;Approove;author;adviser;NARRATIVE;HISTORY;STATUS
1;3;rostselmash;144436;35358957;818;0;0;QSM113 ;2019-12-26;2020-01-05;;2020-02-03;2020-02-05;6498.9;6498.9;22;5;;;3
2;3;rostselmash;146188;35358957;1061;0;0;QSM113 ;2019-07-11;2020-01-05;;2020-02-03;2020-02-03;8099.5;8099.5;22;5;;;3
3;28;belaz;25206;37275505;3464;0;0;QST-30;2019-11-27;2020-01-09;2020-01-20;2020-01-21;2020-01-23;7405.9;7492.9;11;2;;;3
4;28;belaz;25207;33217694;3938;0;0;QSK-60;2019-12-02;2020-01-09;2020-01-20;2020-01-21;2020-01-23;9890.3;9847.3;11;2;;;3
5;44;MoAZ;16;22306941;857;0;0;QSK-60;2019-12-05;2020-01-09;2020-02-06;2020-02-12;2020-02-12;8453.3;8388.3;37;5;;;3
6;21;BELAZ;3859;37276617;4897;0;0;KTTA-19;2019-10-24;2020-01-09;;2020-01-21;2020-01-21;5709.7;5637.7;12;3;;;3
7;38;kamaz;315566;86073090;1226;1;1;ISB6.7;2019-11-01;2020-01-09;2020-01-16;2020-02-20;2020-02-20;9581.1;9666.1;34;1;;;3
8;38;kamaz;323708;86068111;16438;1;1;ISB6.7;2019-11-28;2020-01-09;;2020-01-16;2020-01-20;9651.4;9691.4;34;1;;;3
9;28;belaz;25209;66304485;539;0;0;QSK-78;2019-11-21;2020-01-09;;2020-01-20;2020-01-22;2054.4;2085.4;11;2;;;3
10;38;kamaz;331933;22279669;2403;1;1;ISB6.7;2019-12-20;2020-01-09;;2020-02-18;;8758.3;8676.3;34;1;;;2
11;28;belaz;25210;37202996;1866;0;0;KTTA-19;2019-11-21;2020-01-10;2020-01-20;2020-01-21;2020-01-22;7108.7;7041.7;12;2;;;3
12;28;belaz;25211;33204523;5047;0;0; “¿-50;2019-12-06;2020-01-10;;2020-01-21;2020-01-21;5852.4;5926.4;11;2;;;3
13;28;belaz;25212;33212909;6300;0;0;QSKTA-50;2019-11-27;2020-01-10;;2020-01-21;2020-01-23;709.3;737.3;12;2;;;3
14;28;nefaz;25213;86068348;151640;1;1;ISB6.7;2019-11-21;2020-01-10;2020-02-03;2020-02-25;2020-02-25;2485.3;2485.3;12;1;;;3
15;38;kamaz;332770;86064248;2852;1;1;ISB6.7;2019-12-20;2020-01-10;2020-01-16;2020-02-20;2020-02-26;8480.6;8480.6;34;1;;;3
16;43;cpg cummins;159;25424279;102;0;2;KTA50;2019-09-30;2020-01-10;2020-01-21;2020-01-28;2020-01-30;5338.7;5329.7;36;9;;;3
17;28;belaz;25217;33216620;5090;0;0;KTA50;2019-12-28;2020-01-13;;2020-01-21;2020-01-22;3068.7;2997.7;11;2;;;3
18;21;BELAZ;3865;33214109;5037;0;0;KTA-50;2019-12-12;2020-01-13;;2020-01-24;2020-01-29;2830.1;2830.1;12;3;;;3
19;28;belaz;25208;33218897;2306;0;0;QSK-60;2019-11-27;2020-01-13;;2020-01-20;2020-01-21;3231.9;3231.9;12;2;;;3
20;28;belaz;25214;66305270;3351;0;0;QSK-78;2019-12-27;2020-01-13;2020-01-21;2020-01-22;2020-01-24;2483.2;2483.2;11;2;;;3
21;28;belaz;25215;33214688;5846;0;0; “¿-38;2019-12-12;2020-01-13;2020-01-21;2020-01-22;2020-01-23;7955.8;7955.8;11;2;;;3
22;28;belaz;25216;33214688;6097;0;0; “¿-38;2019-12-29;2020-01-13;2020-01-21;2020-01-22;2020-01-24;3615.8;3671.8;11;2;;;3
23;43;cpg cummins;168;25424655;102;0;2;KTA50-G3;2019-09-30;2020-01-13;2020-01-13;2020-01-28;2020-01-30;4054;4127;36;9;;;3
24;21;BELAZ;3866;33215715;4870;0;0; “¿-50;2019-11-01;2020-01-13;2020-01-22;2020-02-04;2020-02-05;9758.9;9771.9;12;3;;;3
25;24;KAVZ;15649;78180612;81495;1;5;b6.7;2019-12-20;2020-01-13;2020-01-20;2020-01-27;2020-02-04;8461.2;8490.2;20;7;;;3
26;38;kamaz;311361;86075853;1597;1;1;ISB6.7;2019-10-22;2020-01-13;;2020-01-20;;5242.3;5150.3;34;1;;;2
27;28;belaz;25218;33215382;5411;0;0;QSK-60;2019-11-28;2020-01-14;2020-01-21;2020-01-27;2020-01-27;2006;1991;12;2;;;3
28;38;kamaz;323354;86058821;45272;1;1;ISB6.7;2019-11-27;2020-01-14;2020-01-21;2020-01-21;2020-01-21;5819.3;5723.3;34;1;;;3
29;28;belaz;25219;37277365;5752;0;0;KTTA-19;2019-12-31;2020-01-14;;2020-01-21;2020-01-21;6522.8;6587.8;12;2;;;3
30;28;belaz;25220;33216297;4873;0;0;KTA-50;2020-01-03;2020-01-14;2020-01-21;2020-01-22;2020-01-22;2386.4;2386.4;12;2;;;3
31;21;BELAZ;3863;25421989;108;0;0;KTA-38;2019-10-30;2020-01-14;;2020-01-22;2020-01-23;8883.9;8962.9;12;3;;;3
32;21;BELAZ;3867;33199777;896;0;0; “¿-50;2019-11-01;2020-01-14;;2020-01-23;2020-03-02;3579.8;3661.8;12;3;;;3
33;21;aksa;3872;25421989;197;0;2;KTA-38;2019-11-06;2020-01-14;2020-01-22;2020-03-04;2020-03-05;6409.4;6469.4;12;3;;;3
34;28;belaz;25221;33215389;5197;0;0;QSKTA-38;2019-12-29;2020-01-14;2020-01-21;2020-01-22;2020-01-24;500.2;500.2;11;2;;;3
35;38;kamaz;327589;86064065;67323;1;1;ISB6.7;2019-12-09;2020-01-14;2020-01-21;2020-02-07;2020-02-07;7020.3;6956.3;34;1;;;3
36;24;Zhongtong;15658;78937844;41119;1;5;ISL;2019-12-24;2020-01-14;;2020-01-20;2020-01-22;991.9;1035.9;20;7;;;3
37;24;Yutong;15670;78895604;33583;1;5;ISL;2019-12-30;2020-01-14;2020-01-21;2020-01-23;2020-01-24;203.8;293.8;20;7;;;3
38;38;kamaz;329741;86070782;30924;1;1;ISB6.7;2019-12-13;2020-01-14;2020-01-21;2020-02-10;2020-02-10;8920.6;8825.6;34;1;;;3
39;38;kamaz;326203;86077408;1390;1;1;ISB6.7;2019-11-19;2020-01-14;2020-01-21;2020-05-07;2020-05-07;9206.9;9124.9;34;1;;;3
40;38;kamaz;328464;86071629;69407;1;1;ISB6.7;2019-12-11;2020-01-20;2020-01-21;2020-03-26;2020-03-27;8921.8;9011.8;34;1;;;3
41;24;Liebherr;15710;33191821;5820;0;0;QSK45;2020-01-10;2020-01-14;2020-01-21;2020-01-24;2020-01-27;6647.3;6647.3;20;7;;;3
42;28;belaz;25222;33212332;6503;0;0; “¿-50;2019-12-08;2020-01-15;;2020-01-21;2020-01-21;638.9;575.9;11;2;;;3
43;21;BELAZ;3868;37278068;1824;0;0; ““¿-19;2019-11-01;2020-01-15;2020-01-23;2020-02-03;2020-02-05;2677.4;2613.4;12;3;;;3
44;21;VERSATILE;3869;35344797;410;0;0;QSM-11;2019-11-01;2020-01-15;;2020-01-23;2020-01-23;5678.3;5646.3;12;3;;;3
45;28;belaz;25223;33217927;3507;0;0;QSK-60;2019-11-29;2020-01-15;;2020-01-21;2020-01-22;5088.9;5041.9;11;2;;;3
46;21;Zhong Tong;SZ2101;78923373;54294;1;5;ISLe9;2020-01-06;2020-01-15;;2020-01-28;2020-01-28;9340.3;9313.3;12;7;;;3
47;38;kamaz;326388;86062843;58927;1;1;ISB6.7;2019-12-05;2020-01-15;;2020-01-23;;427.9;338.9;34;1;;;2
